CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription,OccurrencePrecinctCode,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
2024075002409,294434829,brooklyn,I,2.0,SUBN,Sport utility / station wagon, , ,075,1.0,LINWOOD ST&&SUTTER AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024069000872,294439877,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,069,2.0,ROCKAWAY PKWY&&SEAVIEW AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024069000872,294439877,brooklyn,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  ,069,2.0,ROCKAWAY PKWY&&SEAVIEW AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024069000875,294439878,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,069,1.0,PAERDEGAT 10 ST&&PAERDEGAT AVE N,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024077000829,294442988,brooklyn,I,1.0,MCY,Motorcycle, , ,077,1.0,FRANKLIN AVE&&LINCOLN PL,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024077000829,294442988,brooklyn,I,2.0,SEDN,Passenger vehicle,03,Backing unsafely                                                                ,077,1.0,FRANKLIN AVE&&LINCOLN PL,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024077000830,294442989,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,077,1.0,PACIFIC ST&&RALPH AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024077000830,294442989,brooklyn,I,2.0,SUBN,Sport utility / station wagon, , ,077,1.0,PACIFIC ST&&RALPH AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024084000899,294445806,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,084,1.0,FLATBUSH AVENUE EXT&&TILLARY ST,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024084000899,294445806,brooklyn,I,2.0,,,09,Following too closely                                                           ,084,1.0,FLATBUSH AVENUE EXT&&TILLARY ST,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024062001056,294453971,brooklyn,I,1.0,BIKE,Bicycle, , ,062,1.0,86 ST&&BAY 16 ST,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2024062001056,294453971,brooklyn,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  ,062,1.0,86 ST&&BAY 16 ST,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2024062001062,294453972,brooklyn,I,1.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  ,062,1.0,18 AVE&&65 ST,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
