,CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription
8473,2024049000901,295782272,bronx,I,2.0,SEDN,Passenger vehicle, , 
8474,2024049000901,295782272,bronx,I,3.0,SUBN,Sport utility / station wagon, , 
8475,2024049000901,295782272,bronx,I,4.0,SEDN,Passenger vehicle, , 
8476,2024049000901,295782272,bronx,I,5.0,SEDN,Passenger vehicle, , 
8477,2024049000902,295782273,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8478,2024049000902,295782273,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8479,2024043001383,295784691,bronx,I,1.0,VAN,Van, , 
8480,2024043001383,295784691,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8481,2024043001387,295784694,bronx,I,1.0,SEDN,Passenger vehicle, , 
8482,2024043001387,295784694,bronx,I,2.0,BIKE,Bicycle,14,Pedest/bike/other pedest error                                                  
8483,2024049000896,295784697,bronx,I,1.0,SEDN,Passenger vehicle, , 
8484,2024049000896,295784697,bronx,I,2.0,BUS,Bus, , 
8485,2024049000896,295784697,bronx,I,3.0,SEDN,Passenger vehicle, , 
8486,2024049000896,295784697,bronx,I,4.0,PICK,Pick-up truck, , 
8487,2024048000951,295788625,bronx,I,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8488,2024048000951,295788625,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8489,2024048000967,295788627,bronx,I,1.0,SEDN,Passenger vehicle, , 
8490,2024040001061,295807436,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8491,2024040001061,295807436,bronx,I,2.0,LCOM,Large com veh(6 or more tires),13,Passing or lane usage improper                                                  
8492,2024040001069,295809405,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8493,2024040001069,295809405,bronx,I,2.0,MCY,Motorcycle,04,Driver inattention/distraction                                                  
8494,2024041000865,295825838,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8495,2024041000856,295829370,bronx,I,1.0,SEDN,Passenger vehicle, , 
8496,2024044001135,295831383,bronx,I,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8497,2024050000824,295853328,bronx,I,1.0,SUBN,Sport utility / station wagon,19,Unsafe speed                                                                    
8498,2024050000824,295853328,bronx,I,2.0,SEDN,Passenger vehicle, , 
8499,2024050000824,295853328,bronx,I,3.0,SUBN,Sport utility / station wagon, , 
8500,2024050000824,295853328,bronx,I,4.0,SEDN,Passenger vehicle, , 
8501,2024050000824,295853328,bronx,I,5.0,SEDN,Passenger vehicle, , 
8502,2024050000824,295853328,bronx,I,6.0,SEDN,Passenger vehicle, , 
8503,2024050000824,295853328,bronx,I,7.0,SUBN,Sport utility / station wagon, , 
8504,2024044001099,295875682,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8505,2024044001099,295875682,bronx,I,2.0,AMBU,Ambulance, , 
8506,2024050000811,295877619,bronx,I,1.0,BUS,Bus,04,Driver inattention/distraction                                                  
8507,2024050000814,295877620,bronx,I,1.0,SEDN,Passenger vehicle, , 
8508,2024050000814,295877620,bronx,I,2.0,SEDN,Passenger vehicle,13,Passing or lane usage improper                                                  
8509,2024050000817,295877621,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8510,2024050000817,295877621,bronx,I,2.0,SEDN,Passenger vehicle, , 
8511,2024050000829,295877623,bronx,I,1.0,SEDN,Passenger vehicle, , 
8512,2024050000829,295877623,bronx,I,2.0,SEDN,Passenger vehicle,03,Backing unsafely                                                                
8513,2024044001129,295887185,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8514,2024044001129,295887185,bronx,I,2.0,,,04,Driver inattention/distraction                                                  
